Name,Employee Number,Date of Birth,Salary,Project Name,Description,Full Days Worked,Manager
Ronald Coleing,1012836,17/10/1992,24500,Thrust,Build a rocket to the moon,300,968329
Ronald Porter,1064686,09/05/1972,13000,Dinner,Have a nice dinner,12,799872
Ronald Porter,1064686,09/05/1972,13000,Win,Win Wimbledon,100,556138
Rosemary Weiss,1001202,29/05/1989,19500,Zoom,Break the speed of light,450,974650
Rosemary Weiss,1001202,29/05/1989,19500,Thrust,Build a rocket to the moon,300,968329
Rudi Mathew,873702,18/05/1977,47500,Zoom,Break the speed of light,450,974650
Rudi Mathew,873702,18/05/1977,47500,Win,Win Wimbledon,100,556138
Sandy Licence,1072460,29/03/1987,37500,Zoom,Break the speed of light,450,974650
Sandy Licence,1072460,29/03/1987,37500,Thrust,Build a rocket to the moon,300,968329
Sarah Dasandi,969180,08/03/1996,42000,Zoom,Break the speed of light,450,974650
Sarah Dasandi,969180,08/03/1996,42000,Thrust,Build a rocket to the moon,300,968329
Sarah Issele,703988,13/03/1978,51500,Dinner,Have a nice dinner,12,799872
Sarah Issele,703988,13/03/1978,51500,Zoom,Break the speed of light,450,974650
Sarah Lukasiewicz,1035063,27/04/1971,33000,Kitten,Invent a Robot Kitten,320,946955
Sarah Lukasiewicz,1035063,27/04/1971,33000,Win,Win Wimbledon,100,556138
Scott Patel,1071785,15/07/1975,13000,Dinner,Have a nice dinner,12,799872
Scott Patel,1071785,15/07/1975,13000,Thrust,Build a rocket to the moon,300,968329
Sean Cocks,756985,14/05/1989,42000,Gold,Turn lead into gold,500,660535
Sean Cocks,756985,14/05/1989,42000,Thrust,Build a rocket to the moon,300,968329
Shaun Bowman,643745,18/09/1988,51000,Dinner,Have a nice dinner,12,799872
Shaun Bowman,643745,18/09/1988,51000,Zoom,Break the speed of light,450,974650
Shirley Burdett,949717,15/01/1975,27000,Thrust,Build a rocket to the moon,300,968329
Shirley Burdett,949717,15/01/1975,27000,Kitten,Invent a Robot Kitten,320,946955
Stephen Hanson,899175,17/10/1987,28500,Dinner,Have a nice dinner,12,799872
Stephen Hanson,899175,17/10/1987,28500,Kitten,Invent a Robot Kitten,320,946955
Steve Atkinsion,844811,22/02/1983,48000,Zoom,Break the speed of light,450,974650
Steve Atkinsion,844811,22/02/1983,48000,Kitten,Invent a Robot Kitten,320,946955
Steve Malcolmson,871806,18/02/1978,38000,Gold,Turn lead into gold,500,660535
Steve Malcolmson,871806,18/02/1978,38000,Win,Win Wimbledon,100,556138
Steve Newton,850978,24/11/1991,51000,Dinner,Have a nice dinner,12,799872
Steve Newton,850978,24/11/1991,51000,Zoom,Break the speed of light,450,974650
Stuart Haseltine,994741,17/07/1989,34500,Thrust,Build a rocket to the moon,300,968329
Stuart Haseltine,994741,17/07/1989,34500,Kitten,Invent a Robot Kitten,320,946955
Sue Shakespeare,634081,16/06/1971,29000,Dinner,Have a nice dinner,12,799872
Sue Shakespeare,634081,16/06/1971,29000,Kitten,Invent a Robot Kitten,320,946955
Surinder Atkins,642968,09/06/1969,48000,Gold,Turn lead into gold,500,660535
Surinder Atkins,642968,09/06/1969,48000,Win,Win Wimbledon,100,556138
Susan Tessadri,942587,22/10/1972,34000,Zoom,Break the speed of light,450,974650
Susan Tessadri,942587,22/10/1972,34000,Gold,Turn lead into gold,500,660535
Tony Matthews,948513,21/05/1985,37500,Win,Win Wimbledon,100,556138
Tony Matthews,948513,21/05/1985,37500,Thrust,Build a rocket to the moon,300,968329
Tracy Vratchovski,627272,23/10/1968,39500,Kitten,Invent a Robot Kitten,320,946955
Tracy Vratchovski,627272,23/10/1968,39500,Win,Win Wimbledon,100,556138
Tracy Weed,1100415,05/08/1993,53500,Gold,Turn lead into gold,500,660535
Tracy Weed,1100415,05/08/1993,53500,Zoom,Break the speed of light,450,974650
Trevor Oates,754455,07/07/1971,36500,Gold,Turn lead into gold,500,660535
Trevor Oates,754455,07/07/1971,36500,Dinner,Have a nice dinner,12,799872
Trevor Oldham,748313,30/03/1981,49500,Win,Win Wimbledon,100,556138
Trevor Oldham,748313,30/03/1981,49500,Kitten,Invent a Robot Kitten,320,946955
Una Brooks,902735,01/11/1980,25500,Thrust,Build a rocket to the moon,300,968329
Una Brooks,902735,01/11/1980,25500,Win,Win Wimbledon,100,556138
Wayne Dewan,567598,21/07/1986,46000,Kitten,Invent a Robot Kitten,320,946955
Wayne Dewan,567598,21/07/1986,46000,Dinner,Have a nice dinner,12,799872
Alan Stoner,556138,11/09/1971,29500,Win,Win Wimbledon,100,556138
Alan Stoner,556138,11/09/1971,29500,Zoom,Break the speed of light,450,974650
Alex Shuttleworth,1079153,18/12/1969,41000,Win,Win Wimbledon,100,556138
Alex Shuttleworth,1079153,18/12/1969,41000,Gold,Turn lead into gold,500,660535
Andrew Andrews,974650,19/05/1971,40000,Zoom,Break the speed of light,450,974650
Andrew Andrews,974650,19/05/1971,40000,Dinner,Have a nice dinner,12,799872
Andrew Casey,702285,27/02/1991,29500,Zoom,Break the speed of light,450,974650
Andrew Casey,702285,27/02/1991,29500,Win,Win Wimbledon,100,556138
Andy Sutton,660535,20/08/1991,34500,Zoom,Break the speed of light,450,974650
Andy Sutton,660535,20/08/1991,34500,Dinner,Have a nice dinner,12,799872
Anthony Jackson,1001174,16/03/1969,41500,Zoom,Break the speed of light,450,974650
Anthony Jackson,1001174,16/03/1969,41500,Dinner,Have a nice dinner,12,799872
Anthony Lever,885616,01/06/1977,35000,Gold,Turn lead into gold,500,660535
Anthony Lever,885616,01/06/1977,35000,Zoom,Break the speed of light,450,974650
Antony Fletcher,777838,27/08/1970,35500,Thrust,Build a rocket to the moon,300,968329
Antony Fletcher,777838,27/08/1970,35500,Win,Win Wimbledon,100,556138
Asaf Burdon,707478,08/05/1959,37500,Zoom,Break the speed of light,450,974650
Asaf Burdon,707478,08/05/1959,37500,Win,Win Wimbledon,100,556138
Barry Lowry,879579,29/04/1988,54500,Thrust,Build a rocket to the moon,300,968329
Barry Lowry,879579,29/04/1988,54500,Gold,Turn lead into gold,500,660535
Barry Smith,951167,13/05/1993,50000,Zoom,Break the speed of light,450,974650
Barry Smith,951167,13/05/1993,50000,Win,Win Wimbledon,100,556138
Bob Brooks,1096616,24/02/1979,43500,Zoom,Break the speed of light,450,974650
Bob Brooks,1096616,24/02/1979,43500,Win,Win Wimbledon,100,556138
Brendon Hammond,1041840,30/12/1989,45500,Thrust,Build a rocket to the moon,300,968329
Brendon Hammond,1041840,30/12/1989,45500,Win,Win Wimbledon,100,556138
Brian Vance,799872,31/12/1967,46500,Gold,Turn lead into gold,500,660535
Brian Vance,799872,31/12/1967,46500,Win,Win Wimbledon,100,556138
Catherine Donnelly,990066,25/11/1987,15000,Thrust,Build a rocket to the moon,300,968329
Catherine Donnelly,990066,25/11/1987,15000,Gold,Turn lead into gold,500,660535
Chad Huke,803322,28/09/1976,46000,Win,Win Wimbledon,100,556138
Chad Huke,803322,28/09/1976,46000,Zoom,Break the speed of light,450,974650
Charlene Everitt,712703,14/01/1974,38500,Thrust,Build a rocket to the moon,300,968329
Charlene Everitt,712703,14/01/1974,38500,Zoom,Break the speed of light,450,974650
Chris Worth,717914,26/06/1993,30000,Kitten,Invent a Robot Kitten,320,946955
Chris Worth,717914,26/06/1993,30000,Win,Win Wimbledon,100,556138
Christien Jones,731698,28/05/1970,19500,Kitten,Invent a Robot Kitten,320,946955
Christien Jones,731698,28/05/1970,19500,Dinner,Have a nice dinner,12,799872
Christopher Weight,1023907,19/05/1984,34000,Gold,Turn lead into gold,500,660535
Christopher Weight,1023907,19/05/1984,34000,Kitten,Invent a Robot Kitten,320,946955
Claire Cole,968329,05/02/1974,38000,Zoom,Break the speed of light,450,974650
Claire Cole,968329,05/02/1974,38000,Dinner,Have a nice dinner,12,799872
Colin Sommerville,758563,02/06/1994,19500,Thrust,Build a rocket to the moon,300,968329
Colin Sommerville,758563,02/06/1994,19500,Kitten,Invent a Robot Kitten,320,946955
David Hughes,805642,12/05/1969,32500,Dinner,Have a nice dinner,12,799872
David Hughes,805642,12/05/1969,32500,Zoom,Break the speed of light,450,974650
David Scott-Mullen,866107,29/11/1982,48500,Thrust,Build a rocket to the moon,300,968329
David Scott-Mullen,866107,29/11/1982,48500,Gold,Turn lead into gold,500,660535
David Varnam,902057,01/11/1971,43500,Dinner,Have a nice dinner,12,799872
David Varnam,902057,01/11/1971,43500,Zoom,Break the speed of light,450,974650
Donna Talbot,584676,11/07/1990,34500,Gold,Turn lead into gold,500,660535
Donna Talbot,584676,11/07/1990,34500,Zoom,Break the speed of light,450,974650
Emad Miah,808745,15/02/1988,46000,Gold,Turn lead into gold,500,660535
Emad Miah,808745,15/02/1988,46000,Zoom,Break the speed of light,450,974650
F Horan,760034,18/04/1994,22000,Thrust,Build a rocket to the moon,300,968329
F Horan,760034,18/04/1994,22000,Kitten,Invent a Robot Kitten,320,946955
Fiona Scott-Mullen,1021846,28/01/1979,50500,Gold,Turn lead into gold,500,660535
Fiona Scott-Mullen,1021846,28/01/1979,50500,Kitten,Invent a Robot Kitten,320,946955
Gary Berry,709496,28/10/1992,49000,Dinner,Have a nice dinner,12,799872
Gary Berry,709496,28/10/1992,49000,Zoom,Break the speed of light,450,974650
Gillian Botwright,891071,22/10/1979,52000,Kitten,Invent a Robot Kitten,320,946955
Gillian Botwright,891071,22/10/1979,52000,Thrust,Build a rocket to the moon,300,968329
Ian Al-Boucari,868829,24/11/1982,52500,Kitten,Invent a Robot Kitten,320,946955
Ian Al-Boucari,868829,24/11/1982,52500,Dinner,Have a nice dinner,12,799872
Jack Nazemian,562899,27/02/1985,19000,Zoom,Break the speed of light,450,974650
Jack Nazemian,562899,27/02/1985,19000,Dinner,Have a nice dinner,12,799872
Janett Reed,946955,24/06/1971,17500,Gold,Turn lead into gold,500,660535
Janett Reed,946955,24/06/1971,17500,Zoom,Break the speed of light,450,974650
Jemma Centraco,576444,05/09/1971,51000,Win,Win Wimbledon,100,556138
Jemma Centraco,576444,05/09/1971,51000,Kitten,Invent a Robot Kitten,320,946955
Joanna Cambridge,1059915,06/01/1971,30500,Zoom,Break the speed of light,450,974650
Joanna Cambridge,1059915,06/01/1971,30500,Kitten,Invent a Robot Kitten,320,946955
John Barker,695695,01/11/1993,43000,Thrust,Build a rocket to the moon,300,968329
John Barker,695695,01/11/1993,43000,Zoom,Break the speed of light,450,974650
John Exchange Ltd,878964,17/09/1981,40000,Gold,Turn lead into gold,500,660535
John Exchange Ltd,878964,17/09/1981,40000,Dinner,Have a nice dinner,12,799872
John Harris,1006744,01/06/1977,43500,Kitten,Invent a Robot Kitten,320,946955
John Harris,1006744,01/06/1977,43500,Thrust,Build a rocket to the moon,300,968329
John Shahban,1100899,25/05/1979,48000,Dinner,Have a nice dinner,12,799872
John Shahban,1100899,25/05/1979,48000,Gold,Turn lead into gold,500,660535
Johnathon Bushby,755029,30/04/1986,35000,Dinner,Have a nice dinner,12,799872
Johnathon Bushby,755029,30/04/1986,35000,Gold,Turn lead into gold,500,660535
Jon Clarke,865143,29/06/1978,33500,Zoom,Break the speed of light,450,974650
Jon Clarke,865143,29/06/1978,33500,Kitten,Invent a Robot Kitten,320,946955
Julia Maxwell,1011011,02/04/1970,52500,Gold,Turn lead into gold,500,660535
Julia Maxwell,1011011,02/04/1970,52500,Dinner,Have a nice dinner,12,799872
Kevin Ryan,636337,06/10/1968,22000,Thrust,Build a rocket to the moon,300,968329
Kevin Ryan,636337,06/10/1968,22000,Zoom,Break the speed of light,450,974650
Lisa MacLeod,811607,08/11/1967,53000,Win,Win Wimbledon,100,556138
Lisa MacLeod,811607,08/11/1967,53000,Dinner,Have a nice dinner,12,799872
Lucy Duong,1069386,30/04/1990,51000,Kitten,Invent a Robot Kitten,320,946955
Lucy Duong,1069386,30/04/1990,51000,Gold,Turn lead into gold,500,660535
Marcell Avery,1072261,04/08/1990,49000,Win,Win Wimbledon,100,556138
Marcell Avery,1072261,04/08/1990,49000,Gold,Turn lead into gold,500,660535
Marcin Hatch,681180,14/12/1979,44500,Thrust,Build a rocket to the moon,300,968329
Marcin Hatch,681180,14/12/1979,44500,Zoom,Break the speed of light,450,974650
Mark Taylor,866637,20/02/1968,54000,Win,Win Wimbledon,100,556138
Mark Taylor,866637,20/02/1968,54000,Thrust,Build a rocket to the moon,300,968329
Mark Titford,558341,23/03/1984,51000,Win,Win Wimbledon,100,556138
Mark Titford,558341,23/03/1984,51000,Kitten,Invent a Robot Kitten,320,946955
Martin Laing,775604,05/10/1976,26500,Zoom,Break the speed of light,450,974650
Martin Laing,775604,05/10/1976,26500,Gold,Turn lead into gold,500,660535
Martin Stewart,753380,23/04/1979,52500,Dinner,Have a nice dinner,12,799872
Martin Stewart,753380,23/04/1979,52500,Thrust,Build a rocket to the moon,300,968329
Matthew Forsyth,578543,06/11/1968,51000,Win,Win Wimbledon,100,556138
Matthew Forsyth,578543,06/11/1968,51000,Gold,Turn lead into gold,500,660535
Michael Jepson,1015601,17/06/1993,26500,Zoom,Break the speed of light,450,974650
Michael Jepson,1015601,17/06/1993,26500,Thrust,Build a rocket to the moon,300,968329
Michael White,1006855,13/04/1980,13500,Zoom,Break the speed of light,450,974650
Michael White,1006855,13/04/1980,13500,Dinner,Have a nice dinner,12,799872
Mike Driver,962250,17/12/1975,36500,Thrust,Build a rocket to the moon,300,968329
Mike Driver,962250,17/12/1975,36500,Win,Win Wimbledon,100,556138
Nicola Hollis,919422,17/02/1990,15500,Dinner,Have a nice dinner,12,799872
Nicola Hollis,919422,17/02/1990,15500,Zoom,Break the speed of light,450,974650
Oliver Woolhouse,939895,15/04/1979,25500,Win,Win Wimbledon,100,556138
Oliver Woolhouse,939895,15/04/1979,25500,Thrust,Build a rocket to the moon,300,968329
Paul Agg,780855,27/01/1990,49000,Zoom,Break the speed of light,450,974650
Paul Agg,780855,27/01/1990,49000,Win,Win Wimbledon,100,556138
Paul Atkins,870849,01/08/1990,40000,Dinner,Have a nice dinner,12,799872
Paul Atkins,870849,01/08/1990,40000,Kitten,Invent a Robot Kitten,320,946955
Paul Freeman,867181,29/11/1988,10500,Thrust,Build a rocket to the moon,300,968329
Paul Freeman,867181,29/11/1988,10500,Dinner,Have a nice dinner,12,799872
Paul Hewitt,795323,27/07/1974,38000,Win,Win Wimbledon,100,556138
Paul Hewitt,795323,27/07/1974,38000,Zoom,Break the speed of light,450,974650
Paul Ripley,670775,04/04/1980,36500,Kitten,Invent a Robot Kitten,320,946955
Paul Ripley,670775,04/04/1980,36500,Dinner,Have a nice dinner,12,799872
Paul Robinson,845722,11/12/1989,25500,Gold,Turn lead into gold,500,660535
Paul Robinson,845722,11/12/1989,25500,Thrust,Build a rocket to the moon,300,968329
Paul Taylor,574830,19/05/1970,29500,Win,Win Wimbledon,100,556138
Paul Taylor,574830,19/05/1970,29500,Dinner,Have a nice dinner,12,799872
Peter Morris,1075388,02/11/1979,49500,Win,Win Wimbledon,100,556138
Peter Morris,1075388,02/11/1979,49500,Dinner,Have a nice dinner,12,799872
Philip Green,569515,18/12/1972,50500,Thrust,Build a rocket to the moon,300,968329
Philip Green,569515,18/12/1972,50500,Zoom,Break the speed of light,450,974650
Ray Dewson,852696,20/03/1980,39000,Thrust,Build a rocket to the moon,300,968329
Ray Dewson,852696,20/03/1980,39000,Gold,Turn lead into gold,500,660535
Rebecca Maisuria,655633,04/05/1970,40000,Kitten,Invent a Robot Kitten,320,946955
Rebecca Maisuria,655633,04/05/1970,40000,Thrust,Build a rocket to the moon,300,968329
Richard Campbell,1061465,01/06/1968,27000,Zoom,Break the speed of light,450,974650
Richard Campbell,1061465,01/06/1968,27000,Thrust,Build a rocket to the moon,300,968329
Richard Morrison,948313,13/06/1988,37000,Dinner,Have a nice dinner,12,799872
Richard Morrison,948313,13/06/1988,37000,Win,Win Wimbledon,100,556138
Robert Heath,796396,02/05/1978,51000,Dinner,Have a nice dinner,12,799872
Robert Heath,796396,02/05/1978,51000,Kitten,Invent a Robot Kitten,320,946955
Ronald Coleing,1012836,17/10/1992,24500,Win,Win Wimbledon,100,556138
Ronald Coleing,1012836,17/10/1992,24500,Thrust,Build a rocket to the moon,300,968329
Ronald Porter,1064686,09/05/1972,13000,Dinner,Have a nice dinner,12,799872
Ronald Porter,1064686,09/05/1972,13000,Win,Win Wimbledon,100,556138
Rosemary Weiss,1001202,29/05/1989,19500,Zoom,Break the speed of light,450,974650
Rosemary Weiss,1001202,29/05/1989,19500,Thrust,Build a rocket to the moon,300,968329
Rudi Mathew,873702,18/05/1977,47500,Zoom,Break the speed of light,450,974650
Rudi Mathew,873702,18/05/1977,47500,Win,Win Wimbledon,100,556138
Sandy Licence,1072460,29/03/1987,37500,Zoom,Break the speed of light,450,974650
Sandy Licence,1072460,29/03/1987,37500,Thrust,Build a rocket to the moon,300,968329
Sarah Dasandi,969180,08/03/1996,42000,Zoom,Break the speed of light,450,974650
Sarah Dasandi,969180,08/03/1996,42000,Thrust,Build a rocket to the moon,300,968329
Sarah Issele,703988,13/03/1978,51500,Dinner,Have a nice dinner,12,799872
Sarah Issele,703988,13/03/1978,51500,Zoom,Break the speed of light,450,974650
Sarah Lukasiewicz,1035063,27/04/1971,33000,Kitten,Invent a Robot Kitten,320,946955
Sarah Lukasiewicz,1035063,27/04/1971,33000,Win,Win Wimbledon,100,556138
Scott Patel,1071785,15/07/1975,13000,Dinner,Have a nice dinner,12,799872
Scott Patel,1071785,15/07/1975,13000,Thrust,Build a rocket to the moon,300,968329
Sean Cocks,756985,14/05/1989,42000,Gold,Turn lead into gold,500,660535
Sean Cocks,756985,14/05/1989,42000,Thrust,Build a rocket to the moon,300,968329
Shaun Bowman,643745,18/09/1988,51000,Dinner,Have a nice dinner,12,799872
Shaun Bowman,643745,18/09/1988,51000,Zoom,Break the speed of light,450,974650
Shirley Burdett,949717,15/01/1975,27000,Thrust,Build a rocket to the moon,300,968329
Shirley Burdett,949717,15/01/1975,27000,Kitten,Invent a Robot Kitten,320,946955
Stephen Hanson,899175,17/10/1987,28500,Dinner,Have a nice dinner,12,799872
Stephen Hanson,899175,17/10/1987,28500,Kitten,Invent a Robot Kitten,320,946955
Steve Atkinsion,844811,22/02/1983,48000,Zoom,Break the speed of light,450,974650
Steve Atkinsion,844811,22/02/1983,48000,Kitten,Invent a Robot Kitten,320,946955
Steve Malcolmson,871806,18/02/1978,38000,Gold,Turn lead into gold,500,660535
Steve Malcolmson,871806,18/02/1978,38000,Win,Win Wimbledon,100,556138
Steve Newton,850978,24/11/1991,51000,Dinner,Have a nice dinner,12,799872
Steve Newton,850978,24/11/1991,51000,Zoom,Break the speed of light,450,974650
Stuart Haseltine,994741,17/07/1989,34500,Thrust,Build a rocket to the moon,300,968329
Stuart Haseltine,994741,17/07/1989,34500,Kitten,Invent a Robot Kitten,320,946955
Sue Shakespeare,634081,16/06/1971,29000,Dinner,Have a nice dinner,12,799872
Sue Shakespeare,634081,16/06/1971,29000,Kitten,Invent a Robot Kitten,320,946955
Surinder Atkins,642968,09/06/1969,48000,Gold,Turn lead into gold,500,660535
Surinder Atkins,642968,09/06/1969,48000,Win,Win Wimbledon,100,556138
Susan Tessadri,942587,22/10/1972,34000,Zoom,Break the speed of light,450,974650
Susan Tessadri,942587,22/10/1972,34000,Gold,Turn lead into gold,500,660535
Tony Matthews,948513,21/05/1985,37500,Win,Win Wimbledon,100,556138
Tony Matthews,948513,21/05/1985,37500,Thrust,Build a rocket to the moon,300,968329
Tracy Vratchovski,627272,23/10/1968,39500,Kitten,Invent a Robot Kitten,320,946955
Tracy Vratchovski,627272,23/10/1968,39500,Win,Win Wimbledon,100,556138
Tracy Weed,1100415,05/08/1993,53500,Gold,Turn lead into gold,500,660535
Tracy Weed,1100415,05/08/1993,53500,Zoom,Break the speed of light,450,974650
Trevor Oates,754455,07/07/1971,36500,Gold,Turn lead into gold,500,660535
Trevor Oates,754455,07/07/1971,36500,Dinner,Have a nice dinner,12,799872
Trevor Oldham,748313,30/03/1981,49500,Win,Win Wimbledon,100,556138
Trevor Oldham,748313,30/03/1981,49500,Kitten,Invent a Robot Kitten,320,946955
Una Brooks,902735,01/11/1980,25500,Thrust,Build a rocket to the moon,300,968329
Una Brooks,902735,01/11/1980,25500,Win,Win Wimbledon,100,556138
Wayne Dewan,567598,21/07/1986,46000,Kitten,Invent a Robot Kitten,320,946955
Wayne Dewan,567598,21/07/1986,46000,Dinner,Have a nice dinner,12,799872
Alan Stoner,556138,11/09/1971,29500,Win,Win Wimbledon,100,556138
Alan Stoner,556138,11/09/1971,29500,Zoom,Break the speed of light,450,974650
Alex Shuttleworth,1079153,18/12/1969,41000,Win,Win Wimbledon,100,556138
Alex Shuttleworth,1079153,18/12/1969,41000,Gold,Turn lead into gold,500,660535
Andrew Andrews,974650,19/05/1971,40000,Zoom,Break the speed of light,450,974650
Andrew Andrews,974650,19/05/1971,40000,Dinner,Have a nice dinner,12,799872
Andrew Casey,702285,27/02/1991,29500,Zoom,Break the speed of light,450,974650
Andrew Casey,702285,27/02/1991,29500,Win,Win Wimbledon,100,556138
Andy Sutton,660535,20/08/1991,34500,Zoom,Break the speed of light,450,974650
Andy Sutton,660535,20/08/1991,34500,Dinner,Have a nice dinner,12,799872
Anthony Jackson,1001174,16/03/1969,41500,Zoom,Break the speed of light,450,974650
Anthony Jackson,1001174,16/03/1969,41500,Dinner,Have a nice dinner,12,799872
Anthony Lever,885616,01/06/1977,35000,Gold,Turn lead into gold,500,660535
Anthony Lever,885616,01/06/1977,35000,Zoom,Break the speed of light,450,974650
Antony Fletcher,777838,27/08/1970,35500,Thrust,Build a rocket to the moon,300,968329
Antony Fletcher,777838,27/08/1970,35500,Win,Win Wimbledon,100,556138
Asaf Burdon,707478,08/05/1959,37500,Zoom,Break the speed of light,450,974650
Asaf Burdon,707478,08/05/1959,37500,Win,Win Wimbledon,100,556138
Barry Lowry,879579,29/04/1988,54500,Thrust,Build a rocket to the moon,300,968329
Barry Lowry,879579,29/04/1988,54500,Gold,Turn lead into gold,500,660535
Barry Smith,951167,13/05/1993,50000,Zoom,Break the speed of light,450,974650
Barry Smith,951167,13/05/1993,50000,Win,Win Wimbledon,100,556138
Bob Brooks,1096616,24/02/1979,43500,Zoom,Break the speed of light,450,974650
Bob Brooks,1096616,24/02/1979,43500,Win,Win Wimbledon,100,556138
Brendon Hammond,1041840,30/12/1989,45500,Thrust,Build a rocket to the moon,300,968329
Brendon Hammond,1041840,30/12/1989,45500,Win,Win Wimbledon,100,556138
Brian Vance,799872,31/12/1967,46500,Gold,Turn lead into gold,500,660535
Brian Vance,799872,31/12/1967,46500,Win,Win Wimbledon,100,556138
Catherine Donnelly,990066,25/11/1987,15000,Thrust,Build a rocket to the moon,300,968329
Catherine Donnelly,990066,25/11/1987,15000,Gold,Turn lead into gold,500,660535
Chad Huke,803322,28/09/1976,46000,Win,Win Wimbledon,100,556138
Chad Huke,803322,28/09/1976,46000,Zoom,Break the speed of light,450,974650
Charlene Everitt,712703,14/01/1974,38500,Thrust,Build a rocket to the moon,300,968329
Charlene Everitt,712703,14/01/1974,38500,Zoom,Break the speed of light,450,974650
Chris Worth,717914,26/06/1993,30000,Kitten,Invent a Robot Kitten,320,946955
Chris Worth,717914,26/06/1993,30000,Win,Win Wimbledon,100,556138
Christien Jones,731698,28/05/1970,19500,Kitten,Invent a Robot Kitten,320,946955
Christien Jones,731698,28/05/1970,19500,Dinner,Have a nice dinner,12,799872
Christopher Weight,1023907,19/05/1984,34000,Gold,Turn lead into gold,500,660535
Christopher Weight,1023907,19/05/1984,34000,Kitten,Invent a Robot Kitten,320,946955
Claire Cole,968329,05/02/1974,38000,Zoom,Break the speed of light,450,974650
Claire Cole,968329,05/02/1974,38000,Dinner,Have a nice dinner,12,799872
Colin Sommerville,758563,02/06/1994,19500,Thrust,Build a rocket to the moon,300,968329
Colin Sommerville,758563,02/06/1994,19500,Kitten,Invent a Robot Kitten,320,946955
David Hughes,805642,12/05/1969,32500,Dinner,Have a nice dinner,12,799872
David Hughes,805642,12/05/1969,32500,Zoom,Break the speed of light,450,974650
David Scott-Mullen,866107,29/11/1982,48500,Thrust,Build a rocket to the moon,300,968329
David Scott-Mullen,866107,29/11/1982,48500,Gold,Turn lead into gold,500,660535
David Varnam,902057,01/11/1971,43500,Dinner,Have a nice dinner,12,799872
David Varnam,902057,01/11/1971,43500,Zoom,Break the speed of light,450,974650
Donna Talbot,584676,11/07/1990,34500,Gold,Turn lead into gold,500,660535
Donna Talbot,584676,11/07/1990,34500,Zoom,Break the speed of light,450,974650
Emad Miah,808745,15/02/1988,46000,Gold,Turn lead into gold,500,660535
Emad Miah,808745,15/02/1988,46000,Zoom,Break the speed of light,450,974650
F Horan,760034,18/04/1994,22000,Thrust,Build a rocket to the moon,300,968329
F Horan,760034,18/04/1994,22000,Kitten,Invent a Robot Kitten,320,946955
Fiona Scott-Mullen,1021846,28/01/1979,50500,Gold,Turn lead into gold,500,660535
Fiona Scott-Mullen,1021846,28/01/1979,50500,Kitten,Invent a Robot Kitten,320,946955
Gary Berry,709496,28/10/1992,49000,Dinner,Have a nice dinner,12,799872
Gary Berry,709496,28/10/1992,49000,Zoom,Break the speed of light,450,974650
Gillian Botwright,891071,22/10/1979,52000,Kitten,Invent a Robot Kitten,320,946955
Gillian Botwright,891071,22/10/1979,52000,Thrust,Build a rocket to the moon,300,968329
Ian Al-Boucari,868829,24/11/1982,52500,Kitten,Invent a Robot Kitten,320,946955
Ian Al-Boucari,868829,24/11/1982,52500,Dinner,Have a nice dinner,12,799872
Jack Nazemian,562899,27/02/1985,19000,Zoom,Break the speed of light,450,974650
Jack Nazemian,562899,27/02/1985,19000,Dinner,Have a nice dinner,12,799872
Janett Reed,946955,24/06/1971,17500,Gold,Turn lead into gold,500,660535
Janett Reed,946955,24/06/1971,17500,Zoom,Break the speed of light,450,974650
Jemma Centraco,576444,05/09/1971,51000,Win,Win Wimbledon,100,556138
Jemma Centraco,576444,05/09/1971,51000,Kitten,Invent a Robot Kitten,320,946955
Joanna Cambridge,1059915,06/01/1971,30500,Zoom,Break the speed of light,450,974650
Joanna Cambridge,1059915,06/01/1971,30500,Kitten,Invent a Robot Kitten,320,946955
John Barker,695695,01/11/1993,43000,Thrust,Build a rocket to the moon,300,968329
John Barker,695695,01/11/1993,43000,Zoom,Break the speed of light,450,974650
John Exchange Ltd,878964,17/09/1981,40000,Gold,Turn lead into gold,500,660535
John Exchange Ltd,878964,17/09/1981,40000,Dinner,Have a nice dinner,12,799872
John Harris,1006744,01/06/1977,43500,Kitten,Invent a Robot Kitten,320,946955
John Harris,1006744,01/06/1977,43500,Thrust,Build a rocket to the moon,300,968329
John Shahban,1100899,25/05/1979,48000,Dinner,Have a nice dinner,12,799872
John Shahban,1100899,25/05/1979,48000,Gold,Turn lead into gold,500,660535
Johnathon Bushby,755029,30/04/1986,35000,Dinner,Have a nice dinner,12,799872
Johnathon Bushby,755029,30/04/1986,35000,Gold,Turn lead into gold,500,660535
Jon Clarke,865143,29/06/1978,33500,Zoom,Break the speed of light,450,974650
Jon Clarke,865143,29/06/1978,33500,Kitten,Invent a Robot Kitten,320,946955
Julia Maxwell,1011011,02/04/1970,52500,Gold,Turn lead into gold,500,660535
Julia Maxwell,1011011,02/04/1970,52500,Dinner,Have a nice dinner,12,799872
Kevin Ryan,636337,06/10/1968,22000,Thrust,Build a rocket to the moon,300,968329
Kevin Ryan,636337,06/10/1968,22000,Zoom,Break the speed of light,450,974650
Lisa MacLeod,811607,08/11/1967,53000,Win,Win Wimbledon,100,556138
Lisa MacLeod,811607,08/11/1967,53000,Dinner,Have a nice dinner,12,799872
Lucy Duong,1069386,30/04/1990,51000,Kitten,Invent a Robot Kitten,320,946955
